close,high,low,open,time,volume,symbol
109478.0,109563.0,109460.5,109563.0,2025-05-23 17:35:00,118,BTCUSDT
109300.5,109459.0,109222.5,109459.0,2025-05-23 17:40:00,242,BTCUSDT
109419.5,109507.0,109275.0,109275.0,2025-05-23 17:45:00,144,BTCUSDT
109477.5,109547.5,109400.5,109414.5,2025-05-23 17:50:00,145,BTCUSDT
109381.0,109519.0,109348.5,109483.0,2025-05-23 17:55:00,107,BTCUSDT
109231.0,109425.0,109164.0,109354.5,2025-05-23 18:00:00,194,BTCUSDT
109230.5,109438.0,109230.5,109260.0,2025-05-23 18:05:00,148,BTCUSDT
109188.0,109208.5,109112.5,109173.0,2025-05-23 18:10:00,160,BTCUSDT
108929.0,109220.0,108929.0,109188.0,2025-05-23 18:15:00,343,BTCUSDT
108997.5,109020.0,108781.5,108920.0,2025-05-23 18:20:00,414,BTCUSDT
109027.5,109126.5,108970.0,109039.5,2025-05-23 18:25:00,185,BTCUSDT
108930.0,109047.0,108890.5,109014.5,2025-05-23 18:30:00,95,BTCUSDT
108977.0,109081.0,108966.5,108966.5,2025-05-23 18:35:00,183,BTCUSDT
108928.5,109023.5,108905.5,108980.0,2025-05-23 18:40:00,179,BTCUSDT
108825.5,108913.5,108704.0,108913.5,2025-05-23 18:45:00,248,BTCUSDT
108836.5,108836.5,108636.0,108825.5,2025-05-23 18:50:00,354,BTCUSDT
108743.5,108812.5,108627.5,108778.5,2025-05-23 18:55:00,330,BTCUSDT
108679.0,108789.5,108642.0,108737.5,2025-05-23 19:00:00,345,BTCUSDT
108967.5,108967.5,108693.5,108703.0,2025-05-23 19:05:00,986,BTCUSDT
109066.0,109114.5,108924.0,108950.5,2025-05-23 19:10:00,219,BTCUSDT
108908.0,109066.0,108883.5,109066.0,2025-05-23 19:15:00,2568,BTCUSDT
108989.0,108991.0,108866.0,108908.0,2025-05-23 19:20:00,1887,BTCUSDT
108877.5,108992.0,108828.5,108989.0,2025-05-23 19:25:00,440,BTCUSDT
109004.0,109030.5,108855.5,108871.0,2025-05-23 19:30:00,209,BTCUSDT
108897.0,109015.5,108880.0,109015.5,2025-05-23 19:35:00,1503,BTCUSDT
108919.0,108947.0,108812.5,108903.5,2025-05-23 19:40:00,1332,BTCUSDT
108822.5,108880.5,108803.0,108876.0,2025-05-23 19:45:00,182,BTCUSDT
108711.0,108851.5,108547.5,108841.0,2025-05-23 19:50:00,1175,BTCUSDT
108654.0,108838.0,108643.0,108714.5,2025-05-23 19:55:00,237,BTCUSDT
108495.0,108671.0,108477.5,108663.0,2025-05-23 20:00:00,2283,BTCUSDT
108456.0,108527.0,108431.5,108515.0,2025-05-23 20:05:00,255,BTCUSDT
108476.0,108514.5,108437.5,108481.0,2025-05-23 20:10:00,110,BTCUSDT
108550.5,108672.5,108471.0,108476.0,2025-05-23 20:15:00,149,BTCUSDT
108608.5,108639.0,108500.5,108562.0,2025-05-23 20:20:00,113,BTCUSDT
108612.0,108614.5,108573.5,108611.5,2025-05-23 20:25:00,100,BTCUSDT
108388.0,108612.0,108388.0,108612.0,2025-05-23 20:30:00,171,BTCUSDT
108378.0,108399.5,108227.0,108359.0,2025-05-23 20:35:00,210,BTCUSDT
108376.0,108435.5,108371.0,108378.5,2025-05-23 20:40:00,102,BTCUSDT
108454.5,108459.5,108376.0,108376.0,2025-05-23 20:45:00,121,BTCUSDT
108239.0,108479.5,108235.5,108454.5,2025-05-23 20:50:00,176,BTCUSDT
108186.5,108293.0,108135.0,108259.5,2025-05-23 20:55:00,2825,BTCUSDT
108196.0,108288.0,108142.5,108190.0,2025-05-23 21:00:00,143,BTCUSDT
108173.5,108218.0,108150.0,108187.5,2025-05-23 21:05:00,90,BTCUSDT
108287.5,108287.5,108119.5,108174.0,2025-05-23 21:10:00,152,BTCUSDT
108480.0,108539.5,108366.0,108366.0,2025-05-23 21:15:00,977,BTCUSDT
108457.5,108588.0,108450.5,108480.5,2025-05-23 21:20:00,101,BTCUSDT
108388.5,108450.5,108287.5,108439.5,2025-05-23 21:25:00,371,BTCUSDT
108274.5,108357.0,108142.5,108357.0,2025-05-23 21:30:00,285,BTCUSDT
108350.5,108486.0,108257.0,108287.5,2025-05-23 21:35:00,780,BTCUSDT
108478.5,108478.5,108275.5,108304.0,2025-05-23 21:40:00,88,BTCUSDT
108567.0,108567.0,108442.0,108442.0,2025-05-23 21:45:00,95,BTCUSDT
